id,name,start_description,finish_description,successXp,cooldownSeconds,totalCompleted,min_level,PGLD,generation,input_1,input_2,input_3,input_4
1,Swab the Decks,The decks need a good swabbing matey. Let's get to it.,The decks are clean enough to eat off of. Great job!,5,0,71580,0,,,,,,
2,Load Cargo,This cargo needs loading. Let's put our backs into it mate!,"That was hard work, but it's worth it.",10,0,726679,0,,,,,,
3,Chop Wood,We need wood to make stuff. Let's get to chopping swabby!,Good job! Let's put that in the hold for use later.,6,0,52435,1,,,,,,
4,Harvest Cotton,The cotton is ready to harvest.,Good job matey! Let's put that in the hold for use later.,6,0,38510,1,,,,,,
5,Mine Iron,Let's scuttle that ore you scallywag.,Good job! Let's put that in the hold for use later.,6,0,55754,1,,,,,,
9,Hammer-Dead Sharks,Hammer-Dead sharks are attacking ships in this area. Use the Spyglass to avoid a run in with those beasties.,Calm seas and we found some treasure to boot!,10,0,3132,3,,,Spyglass x 1,,,
10,Follow the Robo-Dolphin,Robo-Dolphins will lead old salty dogs to treasure. Let's see if we can tail one to some goods.,Thanks to Mecha-Flipper we have some new shinies!,10,0,3028,3,,,Compass x 1,,,
11,Raid the Landlubbers,Let's bribe a landlubber guard with a Mermaid scale and sneak into their town.,Once we were inside the town was ripe for the picking.,10,0,3768,3,,,Mermaid Scale x 1,,,
12,Down with the Deep Ones,These slimy bilge rats are scaring off the traders. Time to send them to see Davy Jones!,Back to the deep with those ones!,12,0,5108,4,,,Spyglass x 1,Cotton Net x 1,,
13,A Game of Djinn Rummy,That Djinn took our rum! After it!!,Well done matey!,12,0,4286,4,,,Compass x 1,Wooden Oar x 1,,
14,Fight the Dread Pirate Robots,Inconceivable...,This booty is worth more than a peanut.,18,0,5584,4,,,Mermaid Scale x 1,Iron Anchor x 1,,
15,Hunt the Mecha-Whale,"There she blows, the White Mecha-Whale!","Arr, that beast was tough! Good job driving it off mate.",30,0,17890,6,,,Spyglass x 1,Mermaid Scale x 1,,
16,Weather the Storm,"Batten down the hatches, there's a mighty squall coming!","That was a rough storm, but it brought some good to our shores.",30,0,16721,6,,,Compass x 1,Spyglass x 1,,
17,Defeat the Merman King,Tritons fury is upon us! To arms!!,That should teach those scaly sea rats a lesson!,30,0,21498,6,,,Mermaid Scale x 1,Compass x 1,,
18,Find the Lost Isle of Gold,We found a map to the lost Island of Gold! Let's set sail!,Well done and raise those cups! We found riches fit for a true Pirate Lord!,50,82800,3520,11,,,Compass x 3,Spyglass x 3,Mermaid Scale x 3,
